DATA,,,,,,
key,data,,,,,
token_name,Bonfida,,,,,
token_symbol,FIDA,,,,,
start_date,31/12/2020,,,,,
start_tokens,1000000000,,,,,
emission_schedule,1D,,,,,
emission_type,linear_unlock,,,,,
emission_incentive,,,,,,
DISTRIBUTION,,,,,,
entity,Seed,Liquidity,IEO,Serum Ecosystem Incentives,Team,Bonfida Foundation
type,percentage,percentage,percentage,percentage,percentage,percentage
group,investors,ecosystem,public,ecosystem,team_advisors,foundation
emission,unlock,unlock,unlock,unlock,unlock,unlock
t507,1.166058394,2,0.6,3.03649635,1.295620438,8.862043796
t508,1.174270073,2,0.6,3.04379562,1.304744526,8.924452555
t509,1.182481752,2,0.6,3.051094891,1.313868613,8.986861314
t510,1.190693431,2,0.6,3.058394161,1.322992701,9.049270073
t511,1.198905109,2,0.6,3.065693431,1.332116788,9.111678832
t512,1.207116788,2,0.6,3.072992701,1.341240876,9.174087591
t513,1.215328467,2,0.6,3.080291971,1.350364964,9.23649635
t514,1.223540146,2,0.6,3.087591241,1.359489051,9.298905109
t515,1.231751825,2,0.6,3.094890511,1.368613139,9.361313869
t516,1.239963504,2,0.6,3.102189781,1.377737226,9.423722628
t517,1.248175182,2,0.6,3.109489051,1.386861314,9.486131387
t518,1.256386861,2,0.6,3.116788321,1.395985401,9.548540146
t519,1.26459854,2,0.6,3.124087591,1.405109489,9.610948905
t520,1.272810219,2,0.6,3.131386861,1.414233577,9.673357664
t521,1.281021898,2,0.6,3.138686131,1.423357664,9.735766423
t522,1.289233577,2,0.6,3.145985401,1.432481752,9.798175182
t523,1.297445255,2,0.6,3.153284672,1.441605839,9.860583942
t524,1.305656934,2,0.6,3.160583942,1.450729927,9.922992701
t525,1.313868613,2,0.6,3.167883212,1.459854015,9.98540146
t526,1.322080292,2,0.6,3.175182482,1.468978102,10.04781022
t527,1.330291971,2,0.6,3.182481752,1.47810219,10.11021898
t528,1.33850365,2,0.6,3.189781022,1.487226277,10.17262774
